Date,Calories,Weight,day,Weight_linear,Weight_spline,Calories_linear,Calories_spline
2023-09-14,725.0,81.0,0,81.0,81.0,725.0,725.0
2023-09-15,1095.0,,1,80.9,80.88618900276282,1095.0,1095.0
2023-09-16,1434.0,,2,80.8,80.77603910039687,1434.0,1434.0
2023-09-17,958.0,,3,80.7,80.66932829876191,958.0,958.0
2023-09-18,1270.0,,4,80.6,80.5658346037176,1270.0,1270.0
2023-09-19,1598.0,,5,80.5,80.46533602112369,1598.0,1598.0
2023-09-20,1126.0,,6,80.4,80.36761055683989,1126.0,1126.0
2023-09-21,1398.0,,7,80.3,80.27243621672591,1398.0,1398.0
2023-09-22,1422.0,,8,80.2,80.17959100664146,1422.0,1422.0
2023-09-23,1477.0,,9,80.1,80.08885293244624,1477.0,1477.0
2023-09-24,1443.0,80.0,10,80.0,80.0,1471.0,1646.5397745224127
2023-09-25,1465.0,,11,79.91666666666667,79.91281021516242,1465.0,1465.0
2023-09-26,1002.0,,12,79.83333333333333,79.82706158379325,1002.0,1002.0
2023-09-27,1530.0,,13,79.75,79.74253211175218,1530.0,1530.0
2023-09-28,1095.0,,14,79.66666666666667,79.65899980489891,1095.0,1095.0
2023-09-29,1117.0,,15,79.58333333333333,79.57624266909319,1117.0,1117.0
2023-09-30,1299.0,,16,79.5,79.4940387101947,1299.0,1299.0
2023-10-01,1365.0,,17,79.41666666666667,79.41216593406318,1365.0,1365.0
2023-10-02,1104.0,,18,79.33333333333333,79.33040234655834,1104.0,1104.0
2023-10-03,1246.0,79.4,19,79.25,79.24852595353988,1246.0,1246.0
2023-10-04,1279.0,,20,79.16666666666667,79.16631476086755,1279.0,1279.0
2023-10-05,1396.0,,21,79.08333333333333,79.08354677440101,1396.0,1396.0
2023-10-06,1579.0,79.0,22,79.0,79.0,1579.0,1579.0
2023-10-07,1718.0,,23,78.92,78.9157499274117,1338.5,1401.9536665584772
2023-10-08,1098.0,,24,78.84,78.8320619819331,1098.0,1098.0
2023-10-09,1297.0,,25,78.75999999999999,78.75049907274864,1206.0,1032.3636555401813
2023-10-10,1314.0,,26,78.67999999999999,78.67262410904279,1314.0,1314.0
2023-10-11,1767.0,78.6,27,78.6,78.6,1767.0,1767.0
2023-10-12,1710.0,,28,78.53333333333333,78.5331058810012,1710.0,1710.0
2023-10-13,1546.0,,29,78.46666666666667,78.46808579221339,1546.0,1546.0
2023-10-14,1345.0,78.4,30,78.4,78.4,1479.0,1343.91554385402
2023-10-15,1412.0,78.2,31,78.28,78.32358321224234,1412.0,1412.0
2023-10-16,1739.0,,32,78.16,78.23226790289304,1739.0,1739.0
2023-10-17,1421.0,,33,78.04,78.11916098742256,1421.0,1421.0
2023-10-18,1661.0,,34,77.92,77.9773693813014,1661.0,1661.0
2023-10-19,1689.0,77.8,35,77.8,77.8,1689.0,1689.0
2023-10-20,1423.0,77.6,36,77.6,77.6,1423.0,1423.0
2023-10-21,1412.0,77.5,37,77.5090909090909,77.4485870775911,1412.0,1412.0
2023-10-22,1475.0,77.3,38,77.41818181818181,77.35245747312793,1475.0,1475.0
2023-10-23,1733.0,,39,77.32727272727273,77.29721700272859,1631.0,1691.1707683609573
2023-10-24,1787.0,,40,77.23636363636363,77.26847148251112,1787.0,1787.0
2023-10-25,1622.0,,41,77.14545454545454,77.25182672859361,1622.0,1622.0
2023-10-26,1702.0,76.9,42,77.05454545454545,77.23288855709414,1702.0,1702.0
2023-10-27,1568.0,,43,76.96363636363635,77.1972627841308,1568.0,1568.0
2023-10-28,1292.0,,44,76.87272727272726,77.13055522582164,1618.5,1617.677801975138
2023-10-29,1669.0,,45,76.78181818181818,77.01837169828472,1669.0,1669.0
2023-10-30,1524.0,,46,76.69090909090909,76.84631801763815,1524.0,1524.0
2023-10-31,1569.0,76.6,47,76.6,76.6,1569.0,1569.0
2023-11-01,1460.0,76.3,48,76.3,76.3,1460.0,1460.0
2023-11-02,1490.0,,49,76.1,76.06732094804812,1490.0,1490.0
2023-11-03,1716.0,75.9,50,75.9,75.9,1716.0,1716.0
2023-11-04,1903.0,,51,75.80000000000001,75.76304415717335,1903.0,1903.0
2023-11-05,1458.0,,52,75.7,75.64728211579983,1458.0,1458.0
